date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:05	43931/43931	---M-Z	200	added ('OK')	text/html	etag:%22ab9b-680d7e1e-23a692cf8a9a6be0;gz%22	https://vavaacademy.com/	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/index.html	(from )
20:51:06	18454/18454	---M-Z	200	added ('OK')	text/css	etag:W/%224816-00NTceTFOXSCfuleSHYg+tVGAkA%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://vavaacademy.com/)
20:51:06	463/463	---M-Z	200	added ('OK')	text/css	etag:%221cf-680d7e1e-f01ed12be42038f3;gz%22	https://vavaacademy.com/css/index.css	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/css/index.css	(from https://vavaacademy.com/)
20:51:07	13491/13491	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2003%20Jul%202025%2023:52:47%20GMT	https://kit.fontawesome.com/40e1b7901b.js	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/kit.fontawesome.com/40e1b7901b.js	(from https://vavaacademy.com/)
20:51:07	26053/26053	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Apr%202025%2017:16:11%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/unpkg.com/aos@2.3.1/dist/aos.css	(from https://vavaacademy.com/)
20:51:08	489/489	---M-Z	200	added ('OK')	application/xml	etag:%221e9-680d7e1e-62dd7c702182267d;gz%22	https://vavaacademy.com/sitemap.xml	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/sitemap.xml	(from https://vavaacademy.com/)
20:51:08	21400/21400	---M--	200	added ('OK')	image/webp	etag:%225398-680d7e1e-33977c8c4603563c;;;%22	https://vavaacademy.com/assets/preloadervava.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/preloadervava.webp	(from https://vavaacademy.com/)
20:51:08	11276/11276	---M--	200	added ('OK')	image/webp	etag:%222c0c-680d7e1e-5fc55662f45530e2;;;%22	https://vavaacademy.com/assets/Vava%20Academy%20[letreiro].webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/Vava%20Academy%20[letreiro].webp	(from https://vavaacademy.com/)
20:51:09	4414566/4414566	---M--	200	added ('OK')	image/png	etag:%22435c66-680d7e1e-78d7435e26400701;;;%22	https://vavaacademy.com/assets/shortcutvava%201.png	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/shortcutvava%201.png	(from https://vavaacademy.com/)
20:51:09	5786/5786	---M-Z	200	added ('OK')	image/svg+xml	etag:%22169a-680d7e1e-9564c471bbda4874;gz%22	https://vavaacademy.com/assets/sublinhado%20(1).svg	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/sublinhado%20(1).svg	(from https://vavaacademy.com/)
20:51:10	9381/9381	---M--	200	added ('OK')	image/png	etag:%2224a5-680d7e1e-7d9479adfb8d1bb8;;;%22	https://vavaacademy.com/assets/V%20VAVA%20gradiente.png	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/V%20VAVA%20gradiente.png	(from https://vavaacademy.com/)
20:51:10	1800295/1800295	---M--	200	added ('OK')	video/mp4	etag:%221b7867-680d7e1e-9630684c1a445489;;;%22	https://vavaacademy.com/assets/home%20desktop%20medio.mp4	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/home%20desktop%20medio.mp4	(from https://vavaacademy.com/)
20:51:10	1832349/1832349	---M--	200	added ('OK')	video/mp4	etag:%221bf59d-680d7e1e-b2f8b6ac9b418edd;;;%22	https://vavaacademy.com/assets/3d%20home%20cell.mp4	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/3d%20home%20cell.mp4	(from https://vavaacademy.com/)
20:51:10	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-2768fb352704b506;gz%22	https://vavaacademy.com/assets/V3%20Pixa%c3%83%c2%a7%c3%83%c2%a3o.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/V3%20Pixa%c3%83%c2%a7%c3%83%c2%a3o.webp	(from https://vavaacademy.com/)
20:51:10	15904/15904	---M--	200	added ('OK')	image/webp	etag:%223e20-680d7e1e-5009ed2c59858e7f;;;%22	https://vavaacademy.com/assets/agentes/ASTRA.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/agentes/ASTRA.webp	(from https://vavaacademy.com/)
20:51:10	31330/31330	---M--	200	added ('OK')	image/webp	etag:%227a62-680d7e1e-c3f9c3f12d4cde22;;;%22	https://vavaacademy.com/assets/agentes/breach.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/agentes/breach.webp	(from https://vavaacademy.com/)
20:51:11	23434/23434	---M--	200	added ('OK')	image/webp	etag:%225b8a-680d7e1e-a953e624f8155c45;;;%22	https://vavaacademy.com/assets/agentes/BRIM.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/agentes/BRIM.webp	(from https://vavaacademy.com/)
20:51:11	20196/20196	---M--	200	added ('OK')	image/webp	etag:%224ee4-680d7e1e-56875d7b1c7b88c9;;;%22	https://vavaacademy.com/assets/agentes/cypher.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/agentes/cypher.webp	(from https://vavaacademy.com/)
20:51:11	20828/20828	---M--	200	added ('OK')	image/webp	etag:%22515c-680d7e1e-a32b9c3f4bd5c71e;;;%22	https://vavaacademy.com/assets/agentes/chamber.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/agentes/chamber.webp	(from https://vavaacademy.com/)
20:51:11	21436/21436	---M--	200	added ('OK')	image/webp	etag:%2253bc-680d7e1e-f341f59c75f2e928;;;%22	https://vavaacademy.com/assets/agentes/deadlock.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/agentes/deadlock.webp	(from https://vavaacademy.com/)
20:51:12	14780/14780	---M--	200	added ('OK')	image/webp	etag:%2239bc-680d7e1e-2cf3ddd36ab3bda6;;;%22	https://vavaacademy.com/assets/agentes/fade.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/agentes/fade.webp	(from https://vavaacademy.com/)
20:51:12	15632/15632	---M--	200	added ('OK')	image/webp	etag:%223d10-680d7e1e-8e73d59a65b04ff5;;;%22	https://vavaacademy.com/assets/agentes/gekko.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/agentes/gekko.webp	(from https://vavaacademy.com/)
20:51:12	22128/22128	---M--	200	added ('OK')	image/webp	etag:%225670-680d7e1e-79a6553b5c52f095;;;%22	https://vavaacademy.com/assets/agentes/HARBOR.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/agentes/HARBOR.webp	(from https://vavaacademy.com/)
20:51:13	22238/22238	---M--	200	added ('OK')	image/webp	etag:%2256de-680d7e1e-eb436fe046ff2384;;;%22	https://vavaacademy.com/assets/agentes/killjoy.webp	C:/Users/Bruno%20D'%20Santos/Desktop/CLONADOR%20DE%20PAGINAS/VAVA%20ACADEMY/vavaacademy.com/assets/agentes/killjoy.webp	(from https://vavaacademy.com/)
